trail,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff,proposal_note
Gudbrandsdalsleden,Hjerkinn Fjellstue & Fjellridning,Rom og hytter | Teltplass,62.2221464,9.5765378,matched,node/1873483825,https://www.openstreetmap.org/node/1873483825,29.9,name:Hjerkinn Fjellstue & Fjellridning->Hjerkinn fjellstue; tourism:chalet->alpine_hut,
Gudbrandsdalsleden,Hoff Gjestgiveri,Pilegrimsherberge,60.6826990,10.8429160,matched,way/928625231,https://www.openstreetmap.org/way/928625231,12.4,+hostel:type=pilgrim; tourism:hostel->guest_house,
Gudbrandsdalsleden,Hæverstølen,Pilegrimsherberge | Rom og hytter,62.7431515,9.9542422,matched,way/945271281,https://www.openstreetmap.org/way/945271281,12.8,+hostel:type=pilgrim; osm:tents=yes; tourism:hostel->guest_house,
Gudbrandsdalsleden,IMI Stølen,Vandrerhjem | Rom og hytter | Teltplass,62.6117061,9.7374596,matched,node/6817570379,https://www.openstreetmap.org/node/6817570379,7.4,tourism:hostel->guest_house,
Gudbrandsdalsleden,Jonsgård Seng & Frokost,Pilegrimsherberge,61.5309200,10.1388410,matched,node/3051727920,https://www.openstreetmap.org/node/3051727920,4.9,+hostel:type=pilgrim; name:Jonsgård Seng & Frokost->Jonsgård Bed & Breakfast; tourism:hostel->guest_house,
Gudbrandsdalsleden,Killi Pensjonat tilbyr overnatting i Otta sentrum,Pilegrimsherberge,61.7719774,9.5249291,matched,node/6808271319,https://www.openstreetmap.org/node/6808271319,0.6,+hostel:type=pilgrim; name:Killi Pensjonat tilbyr overnatting i Otta sentrum->Killi pensjonat; tourism:hostel->guest_house,
Gudbrandsdalsleden,Kirketeigen Rom og Camping,Pilegrimsherberge | Campingplass,61.6665700,9.6938040,matched,node/3663315384,https://www.openstreetmap.org/node/3663315384,32.5,+hostel:type=pilgrim; name:Kirketeigen Rom og Camping->Kirketeigen Ungdomssenter og Camping; tourism:hostel->camp_site,
Gudbrandsdalsleden,Kongsvold Fjeldstue,Pilegrimsherberge,62.3034011,9.6057522,matched,node/833725123,https://www.openstreetmap.org/node/833725123,12.0,+hostel:type=pilgrim; tourism:hostel->alpine_hut,
Gudbrandsdalsleden,Lavo og utedo ved Stormyra,Gapahuk,63.2760723,10.1065542,matched,way/1247018465,https://www.openstreetmap.org/way/1247018465,6.3,+name=Lavo og utedo ved Stormyra; +shelter_type=lean_to,
Gudbrandsdalsleden,Lillehammer Vandrerhjem Stasjonen,Vandrerhjem,61.1146500,10.4614950,matched,node/6808271336,https://www.openstreetmap.org/node/6808271336,16.6,name:Lillehammer Vandrerhjem Stasjonen->Lillehammer Vandrerhjem,
Gudbrandsdalsleden,Lysjøhimet,Rom og hytter,60.4573308,11.2933901,matched,node/849994019,https://www.openstreetmap.org/node/849994019,2.5,tourism:chalet->wilderness_hut,
Gudbrandsdalsleden,Mageli Camping og Hytter,Campingplass,61.3669040,10.2833430,matched,node/3663315613,https://www.openstreetmap.org/node/3663315613,79.1,,
Gudbrandsdalsleden,Nørgar Voll,Pilegrimsherberge,62.8719012,9.8428057,matched,way/748647214,https://www.openstreetmap.org/way/748647214,20.3,+hostel:type=pilgrim,
Gudbrandsdalsleden,Odin Camping,Campingplass | Rom og hytter | Teltplass,60.0953436,10.1838112,matched,node/3663316129,https://www.openstreetmap.org/node/3663316129,82.4,name:Odin Camping->Odin Camping AS; tourism:chalet->camp_site,
Gudbrandsdalsleden,Olskastet,Pilegrimsherberge | Rom og hytter,63.0779090,9.6955974,matched,node/4997601821,https://www.openstreetmap.org/node/4997601821,10.8,osm:amenity=shelter; +hostel:type=pilgrim; osm:shelter_type=basic_hut; +tourism=hostel,
Gudbrandsdalsleden,Onsakervika Camping,Campingplass | Rom og hytter | Teltplass,60.0945694,10.1806443,matched,node/3663316149,https://www.openstreetmap.org/node/3663316149,33.3,tourism:chalet->camp_site,
Gudbrandsdalsleden,Orkla Gjestebolig,Pilegrimsherberge,63.1247456,9.7031509,matched,node/6817588286,https://www.openstreetmap.org/node/6817588286,30.9,+hostel:type=pilgrim; tourism:hostel->guest_house,
Gudbrandsdalsleden,Oslo Vandrerhjem Haraldsheim,Pilegrimsherberge,59.9410840,10.7888320,matched,way/59750899,https://www.openstreetmap.org/way/59750899,34.3,+hostel:type=pilgrim; name:Oslo Vandrerhjem Haraldsheim->Haraldsheim,
Gudbrandsdalsleden,Plassastoggo,Rom og hytter | Teltplass,62.5309052,9.6283373,matched,node/6131154206,https://www.openstreetmap.org/node/6131154206,6.6,osm:amenity=shelter; +name=Plassastoggo; +tourism=chalet,
Gudbrandsdalsleden,Ry Gjestegård,Rom og hytter | Teltplass,62.9226962,9.7901916,matched,node/9040020597,https://www.openstreetmap.org/node/9040020597,38.8,name:Ry Gjestegård->Ry Herberge; tourism:chalet->guest_house,
Gudbrandsdalsleden,Ryphusan,Pilegrimsherberge | Rom og hytter | Teltplass,62.4209662,9.7025165,matched,node/4363452794,https://www.openstreetmap.org/node/4363452794,6.3,+hostel:type=pilgrim; tourism:hostel->wilderness_hut,
Gudbrandsdalsleden,Sløvika Camping,Pilegrimsherberge | Campingplass | Rom og hytter | Teltplass,60.2844034,10.4101311,matched,way/984255607,https://www.openstreetmap.org/way/984255607,59.2,+hostel:type=pilgrim; name:Sløvika Camping->Sløvika camping; tourism:hostel->camp_site,
Gudbrandsdalsleden,Snøhetta Camping,Campingplass | Rom og hytter | Teltplass,62.2205812,9.5494045,matched,way/202737478,https://www.openstreetmap.org/way/202737478,18.2,osm:tents=yes; tourism:chalet->camp_site,
Gudbrandsdalsleden,Steinvik Camping,Rom og hytter | Teltplass,60.9158586,10.7003821,matched,way/370747016,https://www.openstreetmap.org/way/370747016,36.1,name:Steinvik Camping->Steinvik Camping og Hyttegrend; osm:tents=yes; tourism:chalet->camp_site,
Gudbrandsdalsleden,Støslia - Outdoor shelter,Gapahuk,61.6179930,9.7463869,matched,node/13982366801,https://www.openstreetmap.org/node/13982366801,36.7,name:Støslia - Outdoor shelter->Gapahuk; +shelter_type=lean_to,
Gudbrandsdalsleden,Sveen gård (Airbnb),Pilegrimsherberge,60.7615625,11.0810623,matched,node/10911645404,https://www.openstreetmap.org/node/10911645404,32.6,+hostel:type=pilgrim; name:Sveen gård (Airbnb)->Sveen gård; tourism:hostel->chalet,
Gudbrandsdalsleden,Sæteren Gård,Rom og hytter,59.9479400,10.5621640,matched,node/530783833,https://www.openstreetmap.org/node/530783833,15.2,name:Sæteren Gård->Sæteren gård; tourism:chalet->wilderness_hut,
Gudbrandsdalsleden,Tangenodden Camping,Campingplass | Rom og hytter | Teltplass,60.6139315,11.2608196,matched,way/153674479,https://www.openstreetmap.org/way/153674479,56.5,tourism:chalet->camp_site,
Gudbrandsdalsleden,"Tankeplass - ""Hovudet, Klokkeporten og Falkesteinen""",Gapahuk,61.4933252,10.1810386,matched,way/708001651,https://www.openstreetmap.org/way/708001651,4.3,"+name=Tankeplass - ""Hovudet, Klokkeporten og Falkesteinen""; +shelter_type=lean_to",
Gudbrandsdalsleden,Toftemo Turiststasjon,Rom og hytter | Teltplass,61.9994920,9.2209140,matched,way/294787632,https://www.openstreetmap.org/way/294787632,64.7,tourism:chalet->camp_site,
Gudbrandsdalsleden,Ullereng gård pilegrimsherberge,Rom og hytter | Teltplass,59.9992729,11.0822464,matched,node/8018787776,https://www.openstreetmap.org/node/8018787776,9.5,tourism:chalet->guest_house,
Gudbrandsdalsleden,Varphaugen Gård,Campingplass,61.7079031,9.5521787,matched,node/3663316796,https://www.openstreetmap.org/node/3663316796,16.5,name:Varphaugen Gård->Storrusten Gjestehus & Camping Sjoa,
Gudbrandsdalsleden,Vollheim camping og hytter,Campingplass | Rom og hytter | Teltplass,61.9186080,9.3582674,matched,way/312329189,https://www.openstreetmap.org/way/312329189,43.0,name:Vollheim camping og hytter->Vollheim Camping og Hytter; osm:tents=yes; tourism:chalet->camp_site,
